ORGANIZATION,LAT,LONG
"""Petre Andrei"" University",47.1602,27.6032
École Polytechnique de Montréal,45.5048,-73.6132
"Academy of Mathematics and Systems Science, Chinese Academy Science, China",39.9106,-116.3356
AccelerationLab Ltd.,46.0359,8.9324
AcceleratuonLab,46.0359,8.9324
Adam Smith Business School,55.8721,-4.2883
Adelphi University Complexity Seminar,40.7268,-73.6343
Aerospace Systems Design Laboratory (ASDL) of Georgia Institute of Technology,33.7756,-84.3963
AgroCampus Ouest,48.513599,-2.7653
ai-solution,38.9685,-76.862
ai-solutions,38.9685,-76.862
Amsterdam University College,52.3549,4.9512
"Applied Meteorology, IPB, Bogor",-6.5627,106.7283
"Applied Meteorology, Mathemaics &amp; Natural Sciences, Bogor Agricultural University, Indonesia",-6.595038,106.816635
Arizona State University,33.4242,-111.9281
Arizona State University,33.4242,-111.9281
Ashland University,40.8618,-82.3232
ASU,33.4242,-111.9281
ASU Biological Design,33.4242,-111.9281
Athenian High School,37.8348,-121.9501
Auburn University,32.5934,-85.4952
Australian National University,-35.2813,149.1183
Autonomous University of Baja California,32.6632,-115.469
Autonomous University of Mexico City (UACM),19.3365,-99.1886
Bakrie University - Faculty of Economics &amp; Social Science - Dept.Management,41.7886,-87.5987
Ballard High School,38.2834,-85.6253
Bangor University,53.2295,-4.13
Bar Ilan University,32.0692,34.8431
Bard College Berlin,52.5843,13.3937
"Bartlett school of graduate studies, University College London, UK.",51.5246,-0.134
Beijing Normal University,39.962,116.3663
Bigelow Laboratory for Ocean Sciences,43.8597,-69.58
"Biological Sciences, Western Michigan University",42.2837,-85.6103
biologie i univ. regensburg,48.9968,-12.0958
bjfu,40.0045,116.35
Blackburn College,39.2887,-89.8716
blue ridge school,38.2653,-78.5555
Bogor Agricultural University &amp; Wageningen University and Research,-6.595038,106.816635
Boise State University,43.6029,-116.1999
Bosphorus University Computer Engineering,41.0836,29.0506
Brigham Young Univeristy,40.2518,-111.6493
Brigham Young University,40.2518,-111.6493
"California State University, Los Angeles",34.0664,-118.1685
carleton univeristy,45.3876,75.696
Carleton University,45.3876,75.696
"Carleton University, Ottawa, Ontario",45.3876,75.696
CCL,42.0565,-87.6753
ccl,42.0565,-87.6753
"Center for Social Science Methodology, Carl von Ossietzky University of Oldenburg",53.1467,8.1831
Cephalon International School,23.7469,90.3754
Challenger Learning Center of Maine,44.8041,-68.8078
Chiang Mai University,18.8047,98.955
CINVESTAV,19.5098,-99.1295
City University of Hong Kong,22.3367,114.1724
city university of HONGKONG,22.3367,114.1724
Clark University and Redfish Group,42.252,71.8245
"CLOE, Univerity of Naples",40.8454,14.2578
CMRC- Northwestern,42.0565,-87.6753
CMRC/Northwestern,42.0565,-87.6753
Cognitive Tools Ltd. LLC,41.8781,-87.6298
"College of Computer, National University of Defense Technology",28.2278,112.9389
"College of computer, National University of Defense Technology",28.2278,112.9389
Collegium Budapest and ETSU,47.5011,19.0333
Colorado State University,40.5734,105.0865
Columbia University School of Engineering and Applied Sciences,40.8095,-73.9601
"Computer Science Institute, Constatine University, Algeria.",36.3409,6.6205
"Computer Vision and Bio-inspired Computing Laboratory, Florida Institute of Technology",28.0647,-80.623
Concord Academy,42.4593,-71.3546
Concord Consortium,42.4565,-71.3581
constantine,36.3409,6.6205
Cornell University,42.4534,-76.4735
Cpia - Lecce,40.3515,18.175
CRCS,42.377,-71.1167
CSU Stanislaus,37.5224,-120.8581
CU Boulder,40.0076,-105.2659
CUHK,22.4196,114.2068
daiict,23.1885,72.6289
Dartmouth College,43.7044,-72.2887
Data ScienceTech Institute,48.8375,2.3527
Dayton Regional STEM School,39.4337,-84.0713
Deggendorf Institute of Technology,48.8295,12.9546
"Department of Ecology and Evolutionary Biology, Princeton University",40.3431,-74.6551
"Department of Plant Biology, University of Illinois",40.102,-88.2272
"Department of Political and Social Sciences, University of Pisa",43.7167,10.3989
"Department of Surgery, Northwestern University",42.0565,-87.6753
"Department of Surgery, University of Vermont",44.4779,-73.1965
"Department of Trauma, CCH",41.8781,-87.6298
"Department of Trauma, Cook County Hospital",41.8781,-87.6298
"Departments of Biology and Computer Science, University of New Mexico",19.3365,-99.1886
"Dept of Psychology, University of Essex",51.8777,0.9472
Dept. Sociologia (UAB),33.502,-86.8057
Dokuz Eylul University,38.4307,27.1369
DSTI,45.2333,-93.2913
Duke Kunshan University,31.416,120.9014
Dulaney High School,39.4607,-76.6127
Durham University,54.765,-1.5782
EAST TENNESSEE STATE UNIVERSITY,36.3024,-82.3699
East Tennessee State University,36.3024,-82.3699
Embry Riddle University,34.6172,-112.4505
"EnviroFood MSc Programme, UHoH, Suttgart, Germany",48.7758,9.1829
ESCE-IPVC,42.0269,-8.6421
ETH Zurich,47.3764,8.5476
Faculty of Economics of the University of Coimbra,40.2089,-8.4242
"Faculty of Social Sciences, Charles University in Prague",50.0871,14.4235
"FaMAF, UNC, Cordoba, Argentina",-31.4384,-64.1926
Federal University of Santa Catarina,-27.6,-48.5194
FH Joanneum,47.0691,15.4099
FH JOANNEUM,47.0691,15.4099
FH-Joanneum,47.0691,15.4099
FH-JOANNEUM,47.0691,15.4099
Fisk/Vanderbilt,36.1447,-86.8027
Florida State University (student),30.4419,-84.2985
"Forest2020, Faculty of Forestry, Bogor Agricultural University",-6.5539,-106.7233
Freie Universität Berlin,52.4543,13.2935
Friends Social Research Center,39.3035,-76.6197
FUIEMS,33.5611,73.0715
FURG,-32.068,-52.1615
George Mason University,38.8315,-77.3117
Georgia Institute of Technology,33.7756,-84.3963
georgia state university,33.7531,-84.3853
Georgia tech,33.7756,-84.3963
Georgia Tech PMASE,33.7756,-84.3963
gimnazija Leonardo da Vinci,43.5147,16.4435
gimnazija Leonardo da vinci,43.5147,16.4435
gimnazija leonardo da vinci,43.5147,16.4435
Graduate Student at ISCTE,38.7478,-9.1534
GREThA-University of Bordeaux,44.8245,-0.6059
Habib University,24.9059,67.1383
Haifa University,32.7614,35.0195
Harvard University,42.377,-71.1167
Haverford College,40.0074,-75.3051
Hawken School,41.5257,-81.3855
Helmholtz-Centre for Environmental Research - UFZ,51.3518,12.4309
Hosei University,35.6958,139.7416
HSE Saint Petersburg,59.98,30.3272
I3S laboratory and Nice Sophia Antipolis University,43.6955,7.2448
IBMCP (UPV-CSIC),39.4809,-0.3411
"ICON Haematology, Singapore",1.3056,103.8355
